Time,WEST ZONE:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],WEST ZONE:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],WEST ZONE:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],WEST ZONE:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],WEST ZONE::Des Latent Heat Load [W],WEST ZONE::Des Latent Cool Load [W],WEST ZONE::Des Latent Heat Mass Flow [kg/s],WEST ZONE::Des Latent Cool Mass Flow [kg/s],WEST ZONE::Des Heat Load No DOAS [W],WEST ZONE::Des Sens Cool Load No DOAS [W],WEST ZONE::Des Latent Heat Load No DOAS [W],WEST ZONE::Des Latent Cool Load No DOAS [W],WEST ZONE:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Heating Zone Temperature [C],WEST ZONE:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Heating Zone Relative Humidity [%],WEST ZONE:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Cooling Zone Temperature [C],WEST ZONE:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Cooling Zone Relative Humidity [%],EAST ZONE:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],EAST ZONE:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],EAST ZONE:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],EAST ZONE:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],EAST ZONE::Des Latent Heat Load [W],EAST ZONE::Des Latent Cool Load [W],EAST ZONE::Des Latent Heat Mass Flow [kg/s],EAST ZONE::Des Latent Cool Mass Flow [kg/s],EAST ZONE::Des Heat Load No DOAS [W],EAST ZONE::Des Sens Cool Load No DOAS [W],EAST ZONE::Des Latent Heat Load No DOAS [W],EAST ZONE::Des Latent Cool Load No DOAS [W],EAST ZONE:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Heating Zone Temperature [C],EAST ZONE:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Heating Zone Relative Humidity [%],EAST ZONE:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Cooling Zone Temperature [C],EAST ZONE:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Cooling Zone Relative Humidity [%]
05:15:00,0.000000E+00,4.721641E+04,0.000000E+00,4.634594E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.300000E+01,4.199680E+01,2.300000E+01,4.199680E+01,0.000000E+00,6.016643E+04,0.000000E+00,5.841430E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.266791E+01,4.285066E+01,2.311006E+01,4.171806E+01
05:30:00,0.000000E+00,4.720287E+04,0.000000E+00,4.633264E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.300000E+01,4.199680E+01,2.300000E+01,4.199680E+01,0.000000E+00,6.015442E+04,0.000000E+00,5.840264E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.266791E+01,4.285066E+01,2.311006E+01,4.171806E+01
05:45:00,0.000000E+00,4.719691E+04,0.000000E+00,4.632679E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.300000E+01,4.199680E+01,2.300000E+01,4.199680E+01,0.000000E+00,6.015294E+04,0.000000E+00,5.840120E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.266791E+01,4.285066E+01,2.311006E+01,4.171806E+01
06:00:00,0.000000E+00,4.719774E+04,0.000000E+00,4.632761E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.300000E+01,4.199680E+01,2.300000E+01,4.199680E+01,0.000000E+00,6.016370E+04,0.000000E+00,5.841164E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.266791E+01,4.285066E+01,2.311006E+01,4.171806E+01
06:15:00,0.000000E+00,4.720907E+04,0.000000E+00,4.633873E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.300000E+01,4.199680E+01,2.300000E+01,4.199680E+01,0.000000E+00,6.018507E+04,0.000000E+00,5.843239E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.266791E+01,4.285066E+01,2.311006E+01,4.171806E+01
06:30:00,0.000000E+00,4.722918E+04,0.000000E+00,4.635847E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.300000E+01,4.199680E+01,2.300000E+01,4.199680E+01,0.000000E+00,6.021237E+04,0.000000E+00,5.845890E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.295317E+01,4.211604E+01,2.311006E+01,4.171806E+01
06:45:00,0.000000E+00,4.725647E+04,0.000000E+00,4.638526E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.300000E+01,4.199680E+01,2.300000E+01,4.199680E+01,0.000000E+00,6.024558E+04,0.000000E+00,5.849114E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.295317E+01,4.211604E+01,2.311006E+01,4.171806E+01
07:00:00,0.000000E+00,4.729271E+04,0.000000E+00,4.642083E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.300000E+01,4.199680E+01,2.300000E+01,4.199680E+01,0.000000E+00,6.028421E+04,0.000000E+00,5.852865E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.295317E+01,4.211604E+01,2.311006E+01,4.171806E+01
07:15:00,0.000000E+00,4.733450E+04,0.000000E+00,4.646184E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.300000E+01,4.199680E+01,2.300000E+01,4.199680E+01,0.000000E+00,6.033049E+04,0.000000E+00,5.857358E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.295317E+01,4.211604E+01,2.311006E+01,4.171806E+01
07:30:00,0.000000E+00,4.738178E+04,0.000000E+00,4.650825E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.300000E+01,4.199680E+01,2.300000E+01,4.199680E+01,0.000000E+00,6.038572E+04,0.000000E+00,5.862720E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.295317E+01,4.211604E+01,2.311006E+01,4.171806E+01
07:45:00,0.000000E+00,4.743565E+04,0.000000E+00,4.656113E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.300000E+01,4.199680E+01,2.300000E+01,4.199680E+01,0.000000E+00,6.044626E+04,0.000000E+00,5.868598E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.295317E+01,4.211604E+01,2.311006E+01,4.171806E+01
08:00:00,0.000000E+00,4.749597E+04,0.000000E+00,4.662034E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.300000E+01,4.199680E+01,2.300000E+01,4.199680E+01,0.000000E+00,6.051249E+04,0.000000E+00,5.875028E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.295317E+01,4.211604E+01,2.311006E+01,4.171806E+01
